Time,RPx,RPy,RPz
24.44448,-0.07393551,-0.08269638,0.3305159
25.46397,-0.1550045,0.1421862,0.7355311
26.47465,-0.4052148,-0.2143955,-0.2050114
27.49497,-0.1808028,-0.1271949,-0.2486148
28.50654,0.001218319,-0.03448164,-0.02826118
29.51762,-0.0002150536,-0.001523077,-0.01641369
30.53881,0.002305508,-0.001003921,-0.00213623
31.55988,0.003576279,0.02546048,0.0178411
32.5711,-1.449094,0.06505907,0.1332223
33.59431,-1.759256,-0.09467959,-0.05165911
34.61479,-1.168607,-0.2912369,-0.8741202
35.63556,-1.331443,0.1185421,-0.7991552
36.64635,-0.7713189,0.1660989,-0.5359735
37.65758,0.07972062,0.1384947,0.4939928
38.67013,1.156227,0.5719299,0.2555809
39.69235,1.123998,0.3509662,0.3842733
40.71266,-0.1262889,-0.00565505,0.2388055
41.72357,-0.02133608,-0.0361445,-0.03930187
42.74546,0.009227991,0.0267247,-0.05725908
43.76798,0.04135346,0.07275975,-0.1162171
44.78953,-0.007849693,-0.01168895,-0.001788616
45.81049,0.0005605221,-0.006919026,0.003642082
Time,RCAVx,RCAVy,RCAVz
1.015216,0.8610535,-309.3449,349.2506
2.036808,-0.01220703,-0.0006270409,0.001800537
3.059085,0.01086426,-0.006044388,-0.00213623
4.069881,0.006164551,0.009820461,-0.004364014
5.091102,0.005706787,-0.006644726,0.007293701
6.104456,-0.01028442,-0.02991581,-0.007141113
7.125914,0.02154541,0.04325485,0.0163269
8.146507,-0.003234863,-0.01232624,-0.01132202
9.157208,0.007232666,-0.002873898,0.005859375
10.16924,-0.01147461,-0.003348827,-0.001220703
11.19207,0.007324219,-0.003646851,0.002655029
12.21152,0.182373,-2.762612,-3.269531
13.23492,5.732574,353.1172,-13.60822
14.25607,-57.86646,-101.1177,-15.78986
15.27894,16.92474,4.420868,13.30481
16.2999,8.813721,-4.528503,5.369049
17.32173,12.83807,-3.732727,-277.6678
18.33376,5.945129,48.49313,282.3085
19.3544,-5.822021,-36.47443,3.44574
20.37681,-19.34607,-92.66722,-322.0279
21.39863,6.922455,-3.849915,-2.494562
22.42015,0.1079407,0.7967987,-0.5246277
23.43108,0.789856,0.9580994,-4.305401
24.44448,2.627319,112.92,320.0417
25.46397,-7.319305,24.12634,-12.35349
26.47465,-0.4749146,-114.6563,-318.4608
27.49497,13.3526,89.78262,329.71
28.50654,7.540863,-13.84073,-334.9447
29.51762,1.00058,-4.054352,3.634933
30.53881,-0.0975647,-0.05001831,0.8104024
31.55988,-9.890656,5.791138,322.1629
32.5711,-4.900635,9.196045,-16.42386
33.59431,-5.210968,-15.75241,6.681519
34.61479,5.161804,-27.52466,9.979248
35.63556,-14.99628,8.623016,3.363403
36.64635,12.89969,-17.95847,-331.3676
37.65758,-15.37857,16.11526,339.0059
38.67013,19.7861,-74.17789,-337.8038
39.69235,1.573547,5.237305,-0.9064029
40.71266,2.624298,104.7431,349.5852
41.72357,10.14713,-10.55646,-341.4313
42.74546,-4.941467,-10.5238,4.959486
43.76798,-13.61801,-17.64276,-4.38452
44.78953,3.25296,0.8223572,0.748621
45.81049,1.064667,-2.183929,2.417202
Task,Time Taken
