Time,Real Position
1434.254,2.813647 0.06256276 -2.698769
1524.274,3.321804 0.6377903 -3.104049
1611.296,3.047302 1.073327 -4.219025
1702.318,3.154519 0.7259092 -3.773058
1788.331,3.871403 -0.2507408 -2.255193
1881.349,2.938296 1.345722 -2.424456
1973.37,1.431101 2.466746 -3.607494
2058.385,1.656947 2.413253 -3.053411
2147.404,3.081859 1.808926 -1.786923
2239.427,3.190125 1.205434 -1.248908
2329.446,2.500257 1.362648 -2.722522
2419.472,1.725486 1.517809 -4.203508
2510.495,1.480974 1.588877 -4.671682
2600.515,1.816131 0.884597 -3.611552
2691.537,2.723755 1.056489 -2.685817
2782.548,2.512748 1.896306 -3.660205
2869.571,1.876727 1.677437 -3.756663
2962.592,1.56987 1.517739 -3.923443
3052.607,2.328985 0.6626651 -2.63024
3140.624,3.13534 0.09184337 -1.254212
3230.638,3.825932 1.294491 -0.6360145
3317.661,2.608816 2.80083 -2.65377
3404.679,2.629887 2.623047 -2.368852
3493.7,3.729025 1.894489 -1.364414
3582.721,2.96208 1.198149 -2.958472
3671.735,2.337647 1.077783 -4.378459
3762.756,2.493286 0.4861338 -3.325031
3852.775,2.442874 1.400386 -3.786353
Time,Right Controller Rotation
85.01783,319.2688 227.8369 4.627059
177.0291,319.5681 136.0912 25.48578
268.0408,321.0328 136.4055 21.89479
358.0634,323.7912 134.6824 18.79693
448.0861,311.9561 148.6579 41.6857
538.1069,352.3922 179.4636 102.9906
630.128,351.3689 170.6838 82.73416
719.1393,312.9675 187.1313 13.25787
806.1509,277.1323 75.01292 127.6241
895.1657,285.2704 143.2284 66.96562
984.1852,319.2065 115.9764 20.75185
1075.199,321.2267 118.5291 17.24767
1164.212,332.9923 150.8133 33.20838
1254.231,294.9995 199.6814 1.643968
1344.242,329.4104 128.155 15.23492
1434.254,325.0091 120.9296 10.68587
1524.274,343.5125 140.0535 48.39067
1611.296,318.3969 150.2324 40.19521
1702.318,320.9082 127.109 41.95537
1788.331,326.7005 118.9387 56.59921
1881.349,329.9392 152.3114 70.31508
1973.37,336.0124 164.4876 52.63835
2058.385,309.1087 102.8559 97.11269
2147.404,316.8077 100.7978 64.23023
2239.427,314.7104 134.3441 72.86806
2329.446,287.1813 197.2548 345.0425
2419.472,286.3049 204.9855 339.0088
2510.495,289.6587 71.63689 134.674
2600.515,316.6393 85.66563 87.94485
2691.537,323.0948 111.9091 74.82687
2782.548,301.6503 106.1018 95.31683
2869.571,307.0002 171.8746 32.82976
2962.592,302.8293 153.5375 38.88337
3052.607,316.8359 105.6558 54.67537
3140.624,316.9229 108.1038 66.85861
3230.638,335.6489 133.704 82.68389
3317.661,323.6051 182.7073 27.51727
3404.679,294.7969 142.827 40.04429
3493.7,321.3174 116.9035 39.34806
3582.721,312.6678 187.1751 3.650915
3671.735,301.4211 179.1829 30.01119
3762.756,306.7562 112.6729 68.5013
3852.775,313.2055 144.8054 46.28965
Time,Right Controller Velocity
85.01783,-0.1243533 0.1725234 0.3778052
177.0291,0.9870272 -0.3982194 0.8819649
268.0408,1.569098 -0.6135009 1.252683
358.0634,1.342093 -0.600368 1.563725
448.0861,0.9338098 -0.2278824 1.843364
538.1069,-2.191174 2.379551 -2.091917
630.128,-2.570085 1.038741 -2.903679
719.1393,-0.1701694 -0.04743528 -0.1423619
806.1509,-0.06076193 0.0563798 -0.06477404
895.1657,-0.008853912 -0.002356768 -0.03064156
984.1852,0.1657234 -0.5249393 0.4602489
1075.199,0.9081284 -1.06968 1.38022
1164.212,-0.1809266 0.4193512 -0.506547
1254.231,-1.020942 0.3106933 -1.442157
1344.242,0.2492633 -0.4731789 0.1322091
1434.254,1.111096 -1.294616 0.9284446
1524.274,0.508157 0.5752276 -0.4052799
1611.296,-0.2745025 0.4355365 -1.114976
1702.318,0.1072176 -0.3474177 0.445967
1788.331,0.7168837 -0.9766499 1.517865
1881.349,-0.9331064 1.596463 -0.1692629
1973.37,-1.507196 1.121024 -1.183038
2058.385,0.2258468 -0.05349278 0.5540829
2147.404,1.424912 -0.6043277 1.266489
2239.427,0.1082652 -0.6034914 0.5380151
2329.446,-0.6898673 0.157214 -1.473614
2419.472,-0.7747713 0.1551611 -1.480987
2510.495,-0.244512 0.07106805 -0.468174
2600.515,0.3351568 -0.7042804 1.06013
2691.537,0.9076246 0.171892 0.9257357
2782.548,-0.2110076 0.8398168 -0.9743886
2869.571,-0.636021 -0.2188687 -0.09645724
2962.592,-0.3068563 -0.1596977 -0.1667802
3052.607,0.7591147 -0.8550743 1.293203
3140.624,0.8063552 -0.5708217 1.376028
3230.638,0.6905911 1.202647 0.6181977
3317.661,-1.217115 1.506339 -2.017756
3404.679,0.02107096 -0.177783 0.2849188
3493.7,1.099138 -0.7285583 1.004438
3582.721,-0.7669451 -0.6963398 -1.594058
3671.735,-0.6244323 -0.1203661 -1.419987
3762.756,0.1556387 -0.5916488 1.053428
3852.775,-0.05041218 0.914252 -0.4613214
Time,Right Controller Angular Velocity
85.01783,-27.01883 -88.41772 -0.008337498
177.0291,0.2992554 -91.7457 20.85872
268.0408,1.464691 0.31427 -3.590988
358.0634,2.758453 -1.723068 -3.097868
448.0861,-11.83508 13.97552 22.88877
538.1069,40.43607 30.80566 61.30491
630.128,-1.023346 -8.779785 -20.25645
719.1393,-38.40137 16.44754 -69.47629
806.1509,-35.83524 -112.1184 114.3662
895.1657,8.138092 68.21545 -60.6585
984.1852,33.93619 -27.25197 -46.21377
1075.199,2.020142 2.552742 -3.504179
1164.212,11.76566 32.28419 15.96071
1254.231,-37.99283 48.86803 -31.56441
1344.242,34.41092 -71.52635 13.59096
1434.254,-4.401367 -7.225418 -4.549055
1524.274,18.50339 19.12396 37.7048
1611.296,-25.11551 10.17889 -8.195457
1702.318,2.51123 -23.12344 1.760155
1788.331,5.792297 -8.170311 14.64384
1881.349,3.238708 33.37268 13.71587
1973.37,6.073212 12.17622 -17.67673
2058.385,-26.90366 -61.63174 44.47435
2147.404,7.699005 -2.05809 -32.88246
2239.427,-2.097351 33.54632 8.637833
2329.446,-27.52908 62.91068 272.1744
2419.472,-0.8763733 7.730759 -6.033691
2510.495,3.35379 -133.3486 -204.3348
2600.515,26.98053 14.02874 -46.72914
2691.537,6.455566 26.24352 -13.11798
2782.548,-21.44449 -5.807381 20.48995
2869.571,5.349823 65.77285 -62.48707
2962.592,-4.170898 -18.33716 6.053608
3052.607,14.00662 -47.88163 15.792
3140.624,0.08703613 2.447998 12.18324
3230.638,18.72595 25.60018 15.82528
3317.661,-12.04376 49.00327 -55.16663
3404.679,-28.80817 -39.88026 12.52703
3493.7,26.52042 -25.9235 -0.6962318
3582.721,-8.649506 70.27155 -35.69715
3671.735,-11.24677 -7.992157 26.36027
3762.756,5.335114 -66.51003 38.49011
3852.775,6.44931 32.13249 -22.21164
Task,Time Taken
0,1.014457
0,2.028915
0,3.048915
0,4.072713
0,5.089542
0,6.100756
0,7.113196
0,8.125793
0,9.140844
0,10.15268
0,11.16455
0,12.17586
0,13.18871
0,14.20294
0,15.22099
0,16.23206
0,17.24241
0,18.25476
0,19.26559
0,20.27506
0,21.28657
0,22.29858
0,23.30886
0,24.31935
0,25.32933
0,26.34169
0,27.3545
0,28.36719
0,29.37755
0,30.38738
0,31.39717
0,32.40879
0,33.41874
0,34.43013
0,35.44188
0,36.45235
0,37.46335
0,38.47498
0,39.48652
0,40.49674
0,41.51053
0,42.52214
0,43.53212
0,44.54274
